Date;Product Name;Category;Units Sold;Price;Revenue;Discount;Units Returned;Location;Platform
06/01/2020;Whey Protein;Protein;143;3198;457314;3;2;Canada;Walmart
06/01/2020;Vitamin C;Vitamin;139;4251;590889;4;0;UK;Amazon
06/01/2020;Fish Oil;Omega;161;1291;207851;25;0;Canada;Amazon
06/01/2020;Multivitamin;Vitamin;140;1607;22498;8;0;Canada;Walmart
06/01/2020;Pre-Workout;Performance;157;3547;556879;25;3;Canada;iHerb
06/01/2020;BCAA;Amino Acid;154;4119;634326;13;1;UK;Walmart
06/01/2020;Creatine;Performance;134;3249;435366;5;1;UK;Walmart
06/01/2020;Zinc;Mineral;147;4668;686196;19;0;Canada;Amazon
06/01/2020;Collagen Peptides;Protein;147;1096;161112;6;2;USA;Amazon
06/01/2020;Magnesium;Mineral;134;2076;278184;0;0;Canada;Amazon
06/01/2020;Ashwagandha;Herbal;181;1549;280369;14;1;USA;Amazon
06/01/2020;Melatonin;Sleep Aid;164;3441;564324;4;1;USA;Walmart
06/01/2020;Biotin;Vitamin;159;2879;457761;1;1;UK;iHerb
06/01/2020;Green Tea Extract;Fat Burner;143;3188;455884;6;3;UK;Walmart
06/01/2020;Iron Supplement;Mineral;149;4297;640253;22;2;Canada;iHerb
06/01/2020;Electrolyte Powder;Hydration;154;3592;553168;4;2;USA;Amazon
13/01/2020;Whey Protein;Protein;150;1208;18120;2;2;UK;Amazon
13/01/2020;Vitamin C;Vitamin;128;1061;135808;24;2;USA;Amazon
13/01/2020;Fish Oil;Omega;145;2749;398605;19;2;USA;Walmart
13/01/2020;Multivitamin;Vitamin;137;1492;204404;17;2;USA;Amazon
13/01/2020;Pre-Workout;Performance;141;1411;198951;24;1;Canada;iHerb
13/01/2020;BCAA;Amino Acid;160;291;46560;5;0;Canada;Amazon
13/01/2020;Creatine;Performance;154;422;64988;13;0;UK;Walmart
13/01/2020;Zinc;Mineral;154;474;72996;2;2;USA;Amazon
13/01/2020;Collagen Peptides;Protein;134;564;75576;6;1;Canada;iHerb
13/01/2020;Magnesium;Mineral;148;4065;60162;24;1;UK;Amazon
13/01/2020;Ashwagandha;Herbal;133;5435;722855;16;1;UK;Walmart
13/01/2020;Melatonin;Sleep Aid;141;3303;465723;21;2;USA;Amazon
13/01/2020;Biotin;Vitamin;161;1887;303807;14;5;USA;iHerb
13/01/2020;Green Tea Extract;Fat Burner;174;1824;317376;3;2;USA;Walmart
13/01/2020;Iron Supplement;Mineral;163;3529;575227;21;2;USA;Amazon
13/01/2020;Electrolyte Powder;Hydration;151;3542;534842;7;2;USA;Amazon
20/01/2020;Whey Protein;Protein;157;4181;656417;19;0;USA;Walmart
20/01/2020;Vitamin C;Vitamin;149;2233;332717;18;5;UK;Walmart
20/01/2020;Fish Oil;Omega;131;500;65500;5;1;USA;Walmart
20/01/2020;Multivitamin;Vitamin;159;194;30846;9;2;USA;Walmart
20/01/2020;Pre-Workout;Performance;152;4805;73036;1;2;USA;iHerb
20/01/2020;BCAA;Amino Acid;145;1744;25288;8;3;UK;Amazon
20/01/2020;Creatine;Performance;148;5431;803788;15;1;UK;iHerb
20/01/2020;Zinc;Mineral;147;1016;149352;15;1;USA;iHerb
20/01/2020;Collagen Peptides;Protein;161;3941;634501;12;2;UK;Walmart
20/01/2020;Magnesium;Mineral;126;3807;479682;14;1;Canada;Amazon
20/01/2020;Ashwagandha;Herbal;156;2349;366444;21;1;Canada;iHerb
20/01/2020;Melatonin;Sleep Aid;128;2671;341888;2;2;Canada;iHerb
20/01/2020;Biotin;Vitamin;161;3201;515361;4;1;Canada;Amazon
20/01/2020;Green Tea Extract;Fat Burner;148;2103;311244;15;2;UK;Walmart
20/01/2020;Iron Supplement;Mineral;155;4181;648055;2;0;UK;iHerb
20/01/2020;Electrolyte Powder;Hydration;147;2919;429093;14;2;USA;Amazon
27/01/2020;Whey Protein;Protein;137;2673;366201;1;0;UK;Amazon
27/01/2020;Vitamin C;Vitamin;163;359;58517;7;4;UK;iHerb
27/01/2020;Fish Oil;Omega;141;5364;756324;21;0;Canada;iHerb
27/01/2020;Multivitamin;Vitamin;162;3415;55323;3;0;UK;iHerb
27/01/2020;Pre-Workout;Performance;158;3184;503072;18;2;USA;iHerb
27/01/2020;BCAA;Amino Acid;136;1677;228072;19;2;USA;iHerb
27/01/2020;Creatine;Performance;180;1285;23130;7;1;USA;Walmart
27/01/2020;Zinc;Mineral;140;4797;67158;11;2;UK;iHerb
27/01/2020;Collagen Peptides;Protein;126;1168;147168;2;3;Canada;Walmart
